Gene Symbol,Gene ID,Interaction Count,Organism Count
TXN1,22166,2,2
TYK2,7297,2,2
UBE2A,7319,2,1
UBE2D2A,56550,2,1
UFD1,7353,2,1
UGT1A8,54576,2,2
UGT2B1,71773,2,1
UGT2B15,7366,2,1
UMOD,7369,2,1
USP2,9099,2,2
USP6NL,9712,2,1
VASN,114990,2,1
VAT1,10493,2,2
VDAC1,7416,2,1
VLDLR,7436,2,2
VRK2,7444,2,1
WDR44,54521,2,1
WEE1,7465,2,1
WWTR1,25937,2,1
YWHAZ,7534,2,1
ZBTB14,7541,2,1
ZC3H6,376940,2,2
ZEB2,9839,2,1
ZFYVE16,9765,2,1
ZNF165,7718,2,1
ZNF652,22834,2,1
ZNF684,127396,2,1
A1BG,1,1,1
A1CF,29974,1,1
AADAT,51166,1,1
AAGAB,79719,1,1
AASDH,132949,1,1
AASS,10157,1,1
ABCA12,26154,1,1
ABCA5,23461,1,1
ABCA7,10347,1,1
ABCA8A,217258,1,1
ABCB4,5244,1,1
ABCC6,368,1,1
ABCD3,5825,1,1
ABCF2,10061,1,1
ABCG8,64241,1,1
ABHD14B,84836,1,1
ABHD4,63874,1,1
ABHD5,51099,1,1
ABHD6,57406,1,1
ABL1,25,1,1
ABLIM1,3983,1,1
ABLIM3,22885,1,1
ABRACL,58527,1,1
ABRAXAS1,84142,1,1
ABTB3,121551,1,1
ACAA1,30,1,1
ACAA2,10449,1,1
ACAD11,84129,1,1
ACADSB,36,1,1
ACADVL,37,1,1
ACAT1,38,1,1
ACBD7,414149,1,1
ACE2,59272,1,1
ACER3,55331,1,1
ACO1,48,1,1
ACOT13,55856,1,1
ACOT3,171281,1,1
ACOX1,51,1,1
ACOX3,8310,1,1
ACP3,55,1,1
ACSF2,80221,1,1
ACSL5,51703,1,1
ACSL6,23305,1,1
ACSM3,6296,1,1
ACSM5,54988,1,1
ACSS3,79611,1,1
ACTA1,58,1,1
ACTC1,70,1,1
ACTN1,87,1,1
ACTN4,81,1,1
ACTR1A,10121,1,1
ACTR1B,10120,1,1
ACTR6,64431,1,1
ACTR8,93973,1,1
ACY1,95,1,1
ACYP1,97,1,1
ADAL,161823,1,1
ADAM12,8038,1,1
ADAM15,8751,1,1
ADAM9,8754,1,1
ADAMTSL4,54507,1,1
ADD1,118,1,1
ADD3,120,1,1
ADGRA3,166647,1,1
ADGRB1,575,1,1
ADGRE5,976,1,1
ADGRF1,266977,1,1
ADGRG4,139378,1,1
ADGRG6,57211,1,1
ADGRG7,84873,1,1
ADGRL2,23266,1,1
ADGRV1,84059,1,1
ADH4,127,1,1
ADH5,128,1,1
ADH6,130,1,1
ADIPOR2,79602,1,1
ADK,132,1,1
ADM,133,1,1
ADNP,23394,1,1
ADORA2A,135,1,1
ADPRM,56985,1,1
ADRA2C,152,1,1
ADRB2,154,1,1
ADRM1,11047,1,1
ADSS1,122622,1,1
AEN,64782,1,1
AFAP1,60312,1,1
AFDN-DT,653483,1,1
AFG3L1,114896,1,1
AGBL2,79841,1,1
AGE-1,174762,1,1
AGER,177,1,1
AGL,178,1,1
AGMAT,79814,1,1
AGO2,27161,1,1
AGR2,10551,1,1
AGTPBP1,23287,1,1
AGTR1,185,1,1
