## Torsion are defined with the following atomIDs:
# dihed1: ai= 4079 aj= 2050 ak= 2061 al= 2065
# dihed2: ai= 2062 aj= 2063 ak= 2052 al= 4080
# dihed3: ai= 2048 aj= 2057 ak= 2058 al= 2064
# dihed4: ai= 2060 aj= 2059 ak= 2049 al= 4078
# dihed5: ai= 2069 aj= 2067 ak= 2053 al= 4081
# dihed6: ai= 2067 aj= 2069 ak= 2054 al= 4082
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
380  177.471  -48.528   33.119   -3.811   21.114  153.342
381  174.863  -31.981   43.530  -11.003   26.231  131.173
382 -174.016  -13.116   38.533    1.107   19.487  169.254
383 -170.975  -18.337   32.355    0.537   -7.776  172.480
384  176.480  -46.983   57.300   -2.870   -6.927 -178.836
385  173.031   -3.318   41.272    1.256  -34.272 -176.294
386 -164.632  -40.152   49.756   17.094    1.899  120.076
387  173.455  -32.015   39.824    3.906    2.782  149.254
388 -166.296  -55.972   51.870   11.114   52.111 -173.808
389 -178.632  -33.842   39.089   11.553  -10.293  158.182
390 -176.499  -43.692   36.072    9.620  -35.276  171.360
391 -174.811  -31.750   52.246  -11.228   10.948  160.757
392 -172.888  -24.887   49.176   13.789   44.364  166.119
393 -159.664  -24.845   46.064   -0.740    9.375  175.256
394  159.078  -64.158   50.427  -11.458   -3.828  165.677
395  174.409   10.711   61.278    5.968   23.361 -178.245
396 -168.511  -18.530   51.115   13.323    5.980 -156.386
397 -166.890   -9.142   54.008  -11.094   -4.376 -174.011
398 -172.048   -0.666   45.283   15.140  -18.169 -168.675
399 -164.530  -28.916   55.998    1.487    0.173  152.770
400  176.418    7.448   53.451   31.157   29.380  146.264
401 -163.989   10.424   39.026   -4.286   33.888  147.297
402 -179.750   -5.342   61.545  -11.677  -12.612  174.610
403  167.229  -13.535   44.326   -3.593   38.390  164.224
404 -177.181  -33.137   37.829    5.418   18.627  172.436
405 -173.165  -35.582   32.736   15.271   -5.883  178.171
406 -172.273  -25.160   27.643   -4.502   37.967  177.502
407 -171.237  -18.795   35.201    0.559    1.596  161.988
408 -173.960   10.548   36.716  -14.141   24.396  176.598
409 -174.037  -38.155   35.553    6.829   49.624  173.843
410 -172.419  -32.579   51.243    8.878   13.637 -176.976
411  172.557  -30.710   46.229    0.064   14.968  171.579
412 -177.889    0.393   37.693   -3.561   15.485 -160.539
413 -168.259    4.736   45.464   -0.476    0.142  173.542
414  177.456   -4.169   38.760    1.749   21.308 -172.856
415 -173.108    2.045   44.759   -2.087   28.513 -154.650
416  177.414  -20.002   39.688   -6.409  -10.117 -168.694
417 -176.944  -15.041   41.002   -0.160   28.905  160.628
418  177.650  -13.469   47.628  -11.899   22.357 -176.793
419 -163.414    0.185   52.611    5.052   -5.794 -175.723
420 -179.603    6.207   48.284   -7.350    6.119  175.968
421 -158.106    2.667   38.908   -5.425  -11.861  172.325
422 -172.637  -17.091   50.227    0.443    4.845  172.470
423 -153.462   14.241   41.911   -5.383  -16.975  163.566
424  172.333   -0.723   43.171    3.105    7.199  168.584
425 -171.982  -12.072   23.576  -20.626   -7.725  165.280
426  172.351   -3.774   34.755   -2.193  -17.126  151.856
427 -169.870   -7.946   53.724    4.679  -16.619 -178.018
428 -174.323   -7.352   56.076  -24.446   27.304  165.418
429 -178.206  -52.563   33.452   -5.192   30.439  170.452
430 -177.010  -27.007   40.281   -6.246   25.588 -175.015
431  179.551  -19.942   46.004    0.167    1.540 -166.619
432 -176.696  -14.262   53.061   -6.702   21.281  179.485
433 -162.499    1.614   38.081   10.199   10.785 -174.845
434  172.243  -10.537   41.740  -11.993   24.771 -162.966
435  176.314  -33.895   48.196   13.548   11.235  178.061
436  174.847   18.179   47.170  -13.663   14.083 -156.224
