  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      493        1.130        3.771            1      255.828      149.098      280.861
      494        1.036        3.751            1      253.063      138.737      277.992
      495        1.332        3.741            1      254.926      174.995      278.594
      496        1.379        3.733            1      255.888      146.924      280.522
      497        1.421        3.736            1      255.492      116.813      278.615
      498        1.411        3.767            1      254.452      110.275      277.312
      499        1.394        3.771            1      254.985      126.122      274.421
      500        1.392        3.758            1      254.799       98.658      277.776
      501        1.408        3.764            1      253.572      117.008      274.139
      502        1.380        3.729            1      254.683      118.622      277.520
      503        1.401        3.739            1      253.726      124.501      276.438
      504        1.279        3.762            1      255.300      140.261      281.645
